19 84,235 94,237 78,259 90,260
10 95,237 104,238 91,260 101,260
17 104,238 113,239 101,260 111,260
5 117,239 125,240 115,260 123,261
0 126,241 132,241 124,261 131,261
6 133,241 140,242 132,261 139,261
9 140,242 146,243 140,261 146,261
plate 84,225 148,236 75,267 148,267
28 213,250 242,251 219,311 248,311
17 246,251 274,252 251,311 279,312
31 277,252 304,253 281,312 308,312
4 317,254 344,255 320,312 346,312
9 347,255 373,256 349,312 375,312
5 375,256 400,257 377,312 401,313
2 403,257 428,258 404,313 428,313
plate 207,225 435,235 217,327 435,327
