28 8,442 32,442 8,493 32,493
20 34,442 59,442 34,493 59,493
17 61,442 85,442 61,493 85,493
0 96,442 121,442 96,493 121,493
4 123,442 147,442 123,493 147,493
2 150,442 174,442 150,493 174,493
1 176,442 200,442 176,493 200,493
plate 5,422 207,422 5,507 207,507
21 17,218 41,218 17,269 41,269
26 43,218 68,218 43,269 68,269
15 70,218 94,218 70,269 94,269
1 105,218 130,218 105,269 130,269
7 132,218 156,218 132,269 156,269
3 159,218 183,218 159,269 183,269
1 185,218 209,218 185,269 209,269
plate 14,198 216,198 14,283 216,283
