22 77,103 95,103 77,139 95,139
12 96,103 114,103 96,139 114,139
21 115,103 133,103 115,139 133,139
3 141,103 158,103 141,139 158,139
6 160,103 177,103 160,139 177,139
5 179,103 196,103 179,139 196,139
7 198,103 215,103 198,139 215,139
plate 75,88 220,88 75,149 220,149
26 303,194 322,194 303,235 322,235
26 324,194 343,194 324,235 343,235
14 345,194 364,194 345,235 364,235
4 372,194 391,194 372,235 391,235
9 393,194 412,194 393,235 412,235
1 414,194 433,194 414,235 433,235
4 435,194 454,194 435,235 454,235
plate 301,179 459,179 301,245 459,245
