27 79,41 91,40 68,71 82,70
19 93,40 106,40 83,70 98,70
11 107,39 121,39 99,70 114,70
6 127,39 140,38 120,70 135,70
8 142,38 156,38 137,70 152,70
3 157,37 172,37 154,70 170,69
8 173,37 189,36 171,69 188,69
plate 81,30 193,25 64,80 193,79
10 95,113 105,112 99,134 109,134
23 107,112 118,111 110,134 121,134
23 120,111 133,110 123,134 135,133
6 138,110 153,108 141,133 155,133
2 154,108 169,107 156,133 171,133
6 170,107 187,105 172,133 188,132
5 190,105 207,104 191,132 207,132
plate 92,105 213,92 98,140 213,139
