19 220,372 226,371 226,382 232,382
20 227,371 234,370 233,382 239,382
32 234,370 242,369 239,382 247,382
0 246,369 255,368 251,382 259,381
6 257,368 266,367 260,381 269,381
2 267,366 280,365 270,381 282,381
8 281,365 294,363 283,381 295,381
plate 217,367 299,354 227,385 299,385
11 142,438 176,443 135,517 170,518
13 180,444 210,449 174,519 205,520
31 212,449 239,453 208,520 236,521
4 251,455 274,459 248,522 272,523
5 277,459 299,463 275,523 297,524
7 300,463 320,466 299,524 319,524
9 322,466 341,469 322,524 340,525
plate 141,407 345,449 129,540 345,541
